neuron,category,formula,threshold
243,(((((((scene AND object) OR scene) AND NOT color) OR scene) AND object) OR object) AND NOT (scene OR object OR object)),(((((((living room-s AND wall) OR home office-s) AND NOT orange-c) OR dorm room-s) AND wall) OR television) AND NOT (hotel room-s OR wardrobe OR sofa)),6.1
244,((((object OR object OR scene) AND NOT color) OR scene OR object) AND NOT (scene OR scene OR scene OR scene)),((((water OR river OR irrigation ditch-s) AND NOT blue-c) OR watering hole-s OR pond) AND NOT (waterfall-block-s OR bridge-s OR canal-urban-s OR lift bridge-s)),6.0
245,(scene OR scene OR scene OR scene OR object OR object OR scene OR object OR scene OR object),(closet-s OR castle-s OR kasbah-s OR embassy-s OR dam OR aqueduct OR donjon-s OR waterfall OR moat-water-s OR apparel),4.8
246,((scene OR object OR scene OR scene OR scene OR object OR scene OR object OR object) AND NOT scene),((landing deck-s OR plane OR heliport-s OR runway-s OR air base-s OR aircraft carrier OR pagoda-s OR runway OR helicopter) AND NOT cockpit-s),4.2
247,((((((object AND NOT part) AND scene) OR object OR object) AND NOT (color OR object)) OR object) AND NOT (object OR scene)),((((((bed AND NOT footboard) AND bedroom-s) OR pillow OR eiderdown) AND NOT (black-c OR wall)) OR computer) AND NOT (wall OR dorm room-s)),7.3
248,((part OR scene OR scene OR scene OR object OR scene OR object OR scene OR scene) AND NOT object),((shop window OR fairway-s OR golf course-s OR shopfront-s OR leaves OR liquor store-outdoor-s OR animal OR general store-outdoor-s OR pub-outdoor-s) AND NOT road),2.7
249,(scene OR object OR scene OR object OR scene OR scene OR object OR scene OR object OR object),(gas station-s OR arcade machine OR airplane cabin-s OR telephone booth OR kiosk-indoor-s OR kiosk-outdoor-s OR autobus OR convenience store-outdoor-s OR slot machine OR exhibitor),3.9
250,((((((((object OR object) AND scene) OR scene OR object) AND NOT scene) OR part) AND NOT object) OR part) AND NOT part),((((((((sofa OR fireplace) AND living room-s) OR shopping mall-indoor-s OR coffee table) AND NOT waiting room-s) OR inside arm) AND NOT building) OR back pillow) AND NOT back),4.8
251,(((((object OR object OR object OR object) AND scene) OR object) AND scene) OR part),(((((toilet OR sink OR bathtub OR countertop) AND bathroom-s) OR bowl) AND bathroom-s) OR lid),5.0
252,(scene OR scene OR scene OR object OR scene OR scene OR object OR object OR material OR object),(nursery-s OR childs room-s OR kindergarden classroom-s OR case OR day care center-s OR playroom-s OR patty OR cradle OR food OR fruit),4.9
253,((scene OR scene OR scene OR scene OR scene OR scene OR object OR scene OR scene) AND NOT scene),((reception-s OR waiting room-s OR airport ticket counter-s OR bank-indoor-s OR food court-s OR fastfood restaurant-s OR escalator OR ice cream parlor-s OR elevator lobby-s) AND NOT shopping mall-indoor-s),4.1
254,((part OR object OR scene OR object OR object OR object) AND NOT (color OR object OR scene OR scene)),((crosswalk OR stairway OR amphitheater-s OR labyrinth OR stairs OR track) AND NOT (red-c OR ceiling OR cathedral-indoor-s OR church-indoor-s)),4.0
255,((scene OR scene OR scene OR scene OR object OR scene OR scene OR object OR scene) AND NOT object),((conference room-s OR synagogue-outdoor-s OR elevator-door-s OR courtroom-s OR mosque OR elevator lobby-s OR jail-outdoor-s OR dome OR mausoleum-s) AND NOT chair),4.2
256,(object OR object OR object OR scene OR object OR object OR object OR scene OR object OR scene),(tent OR autobus OR greenhouse OR gazebo-exterior-s OR box office OR revolving door OR bus stop OR newsstand-outdoor-s OR caravan OR kiosk-outdoor-s),4.1
257,((((scene OR scene OR scene) AND NOT (object OR object)) OR scene) AND NOT object),((((alley-s OR subway interior-s OR medina-s) AND NOT (seat OR person)) OR alley-s) AND NOT sidewalk),4.1
258,(scene OR object OR scene OR object OR object OR scene OR object OR scene OR scene OR object),(casino-indoor-s OR case OR shopping mall-indoor-s OR arcade machine OR shop OR carrousel-s OR slot machine OR bazaar-indoor-s OR delicatessen-s OR shops),3.9
259,(((object OR material OR scene OR object OR object OR scene OR scene OR object) AND NOT object) OR scene),(((flower OR food OR greenhouse-indoor-s OR patty OR fruit OR florist shop-outdoor-s OR cottage garden-s OR greenhouse) AND NOT tree) OR florist shop-indoor-s),5.5
260,((scene OR scene OR scene OR object OR object OR scene OR object OR scene OR object) AND NOT object),((playground-s OR sandbox-s OR bullring-s OR telephone booth OR henhouse OR medina-s OR horse OR volleyball court-outdoor-s OR trench) AND NOT plant),3.5
261,(scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object OR scene),(bar-s OR wine cellar-barrel storage-s OR wine cellar-bottle storage-s OR music studio-s OR limousine interior-s OR catacomb-s OR auto mechanics-indoor-s OR home theater-s OR barrels OR cavern-indoor-s),3.7
262,((((object OR scene OR object OR scene) AND NOT scene) OR object OR scene OR scene) AND NOT (scene OR object)),((((field OR corridor-s OR valley OR subway station-corridor-s) AND NOT field-wild-s) OR windmill OR savanna-s OR subway station-platform-s) AND NOT (vineyard-s OR plant)),4.2
263,(object OR part OR part OR scene OR scene OR part OR scene OR scene),(skyscraper OR windows OR lid OR parking garage-outdoor-s OR building complex-s OR water tank OR hospital-s OR office building-s),5.6
264,((((scene OR scene OR scene OR scene OR scene OR object) AND NOT object) OR object) AND NOT (object OR scene)),((((alley-s OR restaurant patio-s OR bazaar-indoor-s OR bazaar-outdoor-s OR market-indoor-s OR awning) AND NOT road) OR display window) AND NOT (sidewalk OR bakery-shop-s)),4.4
265,(((object OR scene OR object OR scene OR scene OR object) AND NOT object) OR object OR object OR scene),(((toilet OR cargo container interior-s OR sink OR jail cell-s OR elevator shaft-s OR pillow) AND NOT door) OR bowl OR trench OR elevator shaft-s),4.7
266,(object OR object OR scene OR object OR object OR object OR object OR object OR part OR scene),(apparel OR shirt OR operating room-s OR jersey OR helicopter OR jacket OR trouser OR pillow OR windshield OR junkyard-s),4.2
267,(((((scene OR scene OR scene OR scene) AND NOT object) OR scene) AND NOT (color OR object OR object)) OR scene),(((((alley-s OR atrium-public-s OR oast house-s OR courtyard-s) AND NOT road) OR quadrangle-s) AND NOT (blue-c OR sidewalk OR plant)) OR atrium-public-s),4.7
268,((((object OR object OR scene OR scene OR scene OR scene) AND NOT object) OR scene OR scene) AND NOT object),((((autobus OR truck OR field road-s OR bus depot-outdoor-s OR building complex-s OR ranch house-s) AND NOT sky) OR parking garage-outdoor-s OR hacienda-s) AND NOT earth),4.7
269,((object OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object) AND NOT scene),((cradle OR attic-s OR boxing ring-s OR wrestling ring-indoor-s OR bedchamber-s OR throne room-s OR chapel-s OR sacristy-s OR trouser) AND NOT attic-s),4.0
270,((scene OR object OR scene OR scene OR scene OR scene OR object OR object OR object) AND NOT object),((zen garden-s OR sink OR ice skating rink-indoor-s OR snowfield-s OR volleyball court-outdoor-s OR crevasse-s OR catwalk OR labyrinth OR ice rink) AND NOT snow),4.1
271,(object OR scene OR scene OR part OR object OR object OR object OR scene OR object OR part),(aquarium OR amusement arcade-s OR bowling alley-s OR screen OR arcade machine OR crt screen OR fish OR aquatic theater-s OR monitoring device OR monitor),4.0
272,(object OR scene OR scene OR object OR scene OR object OR scene OR scene OR object OR scene),(bridge OR rope bridge-s OR forest road-s OR roller coaster OR lift bridge-s OR carousel OR covered bridge-interior-s OR lagoon-s OR aqueduct OR bridge-s),5.3
273,(object OR object OR scene OR object OR scene OR scene OR object OR scene),(tent OR rubbish OR rubble-s OR stretcher OR crevasse-s OR junkyard-s OR manhole OR junk pile-s),3.3
274,((scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene) AND color),((dolmen-s OR pasture-s OR orchard-s OR rope bridge-s OR moor-s OR ranch-s OR desert-vegetation-s OR field-wild-s OR hunting lodge-outdoor-s) AND green-c),4.7
275,((((object OR object OR scene OR scene OR object OR object) AND NOT object) OR scene OR scene) AND NOT object),((((rock OR rubbish OR river-s OR creek-s OR rubble OR steam shovel) AND NOT plant) OR beach house-s OR dam-s) AND NOT mountain),4.8
276,((scene OR scene OR object OR object OR scene OR part OR scene OR scene OR scene) AND NOT object),((car interior-backseat-s OR sandbox-s OR dashboard OR steering wheel OR manhole-s OR lid OR limousine interior-s OR fence-s OR junkyard-s) AND NOT earth),4.1
277,(((((object OR scene OR scene) AND NOT scene) OR scene) AND NOT scene) OR object OR object OR scene OR scene),(((((field OR marsh-s OR badlands-s) AND NOT field-cultivated-s) OR rope bridge-s) AND NOT hill-s) OR desert OR semidesert ground OR moor-s OR earth fissure-s),3.7
278,((scene OR scene OR scene OR scene OR scene OR scene OR scene OR object OR scene) AND NOT object),((forest-broadleaf-s OR carrousel-s OR forest-needleleaf-s OR greenhouse-indoor-s OR cavern-indoor-s OR butchers shop-s OR bog-s OR greenhouse OR savanna-s) AND NOT mountain),3.7
279,(((((((object OR object) AND color) OR scene) AND NOT scene) OR scene) AND NOT (object OR scene)) OR object OR object),(((((((mountain OR sea) AND blue-c) OR crevasse-s) AND NOT mountain snowy-s) OR snowfield-s) AND NOT (sky OR coast-s)) OR iceberg OR ice),3.8
280,(((object AND scene) OR object OR object) AND NOT (scene OR object)),(((car AND street-s) OR van OR central reservation) AND NOT (access road-s OR fence)),6.5
281,(scene OR scene OR object OR object OR part OR scene OR scene OR scene OR scene OR scene),(supermarket-s OR butchers shop-s OR apparel OR sales booth OR shop window OR candy store-s OR liquor store-outdoor-s OR market-indoor-s OR newsstand-outdoor-s OR delicatessen-s),4.4
282,((((scene AND object) AND NOT (color OR object)) OR object) AND NOT (object OR color OR part OR color OR color)),((((street-s AND building) AND NOT (black-c OR windowpane)) OR water tower) AND NOT (tree OR brown-c OR balcony OR blue-c OR pink-c)),5.4
283,((object OR part OR object OR scene OR scene OR object OR scene) AND NOT (scene OR object OR scene)),((desk OR top OR kitchen island OR classroom-s OR dining hall-s OR stove OR beer garden-s) AND NOT (living room-s OR building OR conference room-s)),4.7
284,((object OR object OR object OR scene OR scene OR object OR object OR scene OR scene) AND NOT object),((grandstand OR pitch OR tennis court OR bank vault-s OR amphitheater-s OR court OR net OR baseball field-s OR volleyball court-outdoor-s) AND NOT wall),5.2
285,((scene OR object) AND NOT (scene OR part OR object)),((attic-s OR pool table) AND NOT (poolroom-establishment-s OR footboard OR table)),5.2
286,((((object OR scene) AND color) OR scene OR scene OR scene OR scene OR scene) AND NOT (object OR scene)),((((plant OR orchard-s) AND green-c) OR greenhouse-indoor-s OR vegetable garden-s OR herb garden-s OR cottage garden-s OR greenhouse-outdoor-s) AND NOT (tree OR yard-s)),4.3
287,((((((scene OR scene OR scene OR object) AND NOT object) OR scene OR scene) AND NOT object) OR scene) AND NOT object),((((((harbor-s OR village-s OR castle-s OR island) AND NOT sky) OR boathouse-s OR ski resort-s) AND NOT sky) OR industrial area-s) AND NOT earth),4.1
288,(object OR scene OR material OR scene OR object OR scene OR object OR object OR scene OR object),(pool table OR bakery-shop-s OR food OR butchers shop-s OR table football OR bakery-kitchen-s OR fruit OR patty OR market-indoor-s OR stove),4.8
289,(((object AND NOT scene) OR scene) AND NOT (scene OR object OR color)),(((mountain AND NOT mountain snowy-s) OR cockpit-s) AND NOT (coast-s OR seat OR green-c)),4.4
290,(((scene OR object OR scene OR scene OR scene OR scene OR scene) AND color) OR scene OR scene),(((bar-s OR house OR courtroom-s OR witness stand-s OR liquor store-indoor-s OR train station-outdoor-s OR synagogue-outdoor-s) AND brown-c) OR bar-s OR pilothouse-indoor-s),4.1
291,(object OR scene OR object OR object OR scene OR object OR object OR object OR object OR object),(animal OR kennel-indoor-s OR cow OR grill OR jail cell-s OR dog OR horse OR henhouse OR hen OR elephant),4.2
292,(object OR object OR scene OR scene OR scene OR scene OR scene OR object OR object OR object),(bookcase OR book OR videostore-s OR pantry-s OR liquor store-indoor-s OR supermarket-s OR convenience store-indoor-s OR lighthouse OR magazine OR water tower),4.6
293,((scene AND color) OR object OR object OR scene OR part OR object OR object OR scene OR scene),((bathroom-s AND grey-c) OR dam OR tunnel OR manhole-s OR garage door OR toilet OR gate OR fountain-s OR kennel-outdoor-s),4.6
294,((((((object OR scene OR scene OR scene) AND NOT scene) OR object) AND NOT object) OR object) AND NOT (part OR color)),((((((house OR fire escape-s OR rubble-s OR ski resort-s) AND NOT house-s) OR playground) AND NOT sky) OR shanties) AND NOT (roof OR white-c)),4.7
295,((((scene OR scene OR object OR scene OR scene OR scene) AND NOT object) OR scene) AND NOT (object OR object)),((((cockpit-s OR bar-s OR slot machine OR liquor store-indoor-s OR gift shop-s OR liquor store-outdoor-s) AND NOT bar) OR newsstand-outdoor-s) AND NOT (pedestal OR bookcase)),4.6
296,(object OR scene OR object OR object OR scene OR scene OR object OR scene OR object OR object),(aqueduct OR viaduct-s OR swivel chair OR railroad train OR industrial park-s OR parking garage-outdoor-s OR covered bridge OR office building-s OR stretcher OR viaduct),4.7
297,((((object OR scene OR scene OR object OR part) AND NOT scene) OR scene) AND NOT scene),((((path OR forest road-s OR forest path-s OR dirt track OR garage door) AND NOT street-s) OR mountain road-s) AND NOT fire station-s),6.4
298,((scene OR object) AND NOT scene),((sauna-s OR folding door) AND NOT bedroom-s),4.7
299,((scene OR scene OR scene OR object OR scene OR object) AND NOT (material OR object OR object)),((gymnasium-indoor-s OR bowling alley-s OR jacuzzi-indoor-s OR pool OR swimming pool-indoor-s OR coffee table) AND NOT (carpet OR armchair OR table)),4.7
300,(((((scene OR scene OR object OR object) AND NOT object) OR scene OR scene OR scene) AND NOT object) OR object),(((((gas station-s OR roundabout-s OR lighthouse OR water tower) AND NOT road) OR boathouse-s OR motel-s OR convenience store-outdoor-s) AND NOT road) OR toll booth),4.6
301,(((((scene OR scene OR scene OR scene OR object OR scene) AND NOT object) OR object) AND NOT object) OR scene),(((((beach-s OR boathouse-s OR islet-s OR bayou-s OR bandstand OR beach house-s) AND NOT sky) OR island) AND NOT sand) OR bayou-s),4.7
302,(((object OR scene OR scene OR object OR object OR scene) AND NOT (object OR color)) OR scene OR scene),(((mountain OR cavern-indoor-s OR badlands-s OR ice OR iceberg OR hoodoo-s) AND NOT (sky OR black-c)) OR cavern-indoor-s OR crevasse-s),4.7
303,(scene OR object OR scene OR scene OR scene OR object OR scene OR object OR object OR object),(archive-s OR toilet OR bank vault-s OR assembly line-s OR cafeteria-s OR merchandise OR clean room-s OR water tower OR sink OR machine),4.7
304,((((scene OR object OR scene OR scene OR scene) AND NOT object) OR object OR scene) AND NOT (object OR object)),((((forest-broadleaf-s OR waterfall OR forest-needleleaf-s OR waterfall-fan-s OR river-s) AND NOT river) OR forest OR lagoon-s) AND NOT (earth OR grass)),4.5
305,((object OR object OR scene OR object OR scene OR object OR object OR object OR scene) AND NOT object),((pool table OR plane OR landing deck-s OR windmill OR air base-s OR kitchen island OR helicopter OR stove OR runway-s) AND NOT cabinet),5.8
306,(scene OR scene OR object OR scene OR scene OR scene OR scene OR scene OR object OR object),(castle-s OR moat-dry-s OR ruins OR moat-water-s OR amphitheater-s OR ruin-s OR donjon-s OR oast house-s OR gravestone OR dam),4.5
307,((object OR scene OR scene OR scene OR scene OR object OR scene OR object OR scene) AND NOT object),((bridge OR cloister-indoor-s OR covered bridge-interior-s OR rope bridge-s OR volleyball court-outdoor-s OR footbridge OR forest path-s OR shelter OR lift bridge-s) AND NOT bush),4.1
308,(object OR scene OR object OR object OR object OR object OR part),(washer OR laundromat-s OR aqueduct OR viaduct OR tumble dryer OR tunnel OR arcades),5.6
309,((scene OR object OR object OR scene OR object OR object OR object OR object OR scene) AND NOT object),((greenhouse-indoor-s OR greenhouse OR playground OR control tower-indoor-s OR bandstand OR shelter OR henhouse OR dome OR cabana-s) AND NOT chair),4.4
310,((((object OR object OR object OR object) AND scene) OR object) AND NOT object),((((sink OR toilet OR bathtub OR countertop) AND bathroom-s) OR bidet) AND NOT door),8.1
311,(object OR scene OR scene OR scene OR object OR scene OR object OR object OR object OR scene),(hovel OR barn-s OR cavern-indoor-s OR sauna-s OR horse OR fort-s OR covered bridge OR animal OR tent OR elevator shaft-s),3.6
312,((scene OR scene OR scene OR scene OR object) AND NOT (object OR scene OR scene OR object)),((cemetery-s OR computer room-s OR call center-s OR assembly line-s OR monitoring device) AND NOT (partition OR office-s OR casino-indoor-s OR earth)),4.7
313,(((scene OR scene OR scene OR object OR object OR scene OR scene OR object) AND NOT scene) OR object),(((tower-s OR water tower-s OR amusement park-s OR big top OR tower OR fire escape-s OR donjon-s OR carousel) AND NOT castle-s) OR aqueduct),4.0
314,((((scene OR scene OR scene OR scene) AND NOT color) OR scene OR object OR scene OR scene) AND NOT object),((((corridor-s OR castle-s OR gymnasium-indoor-s OR operating room-s) AND NOT grey-c) OR ruin-s OR aircraft carrier OR building complex-s OR donjon-s) AND NOT sky),4.1
315,(((scene OR object OR scene OR object OR scene OR object) AND NOT (color OR object)) OR object OR scene),(((roundabout-s OR railroad train OR parking lot-s OR railway OR viaduct-s OR bowling alley) AND NOT (blue-c OR road)) OR valley OR farm-s),3.9
316,(((scene OR scene OR scene OR scene OR scene OR scene OR scene OR object) AND NOT object) OR object),(((lighthouse-s OR industrial park-s OR apse-indoor-s OR funeral chapel-s OR nuclear power plant-outdoor-s OR hangar-outdoor-s OR church-indoor-s OR water tower) AND NOT sky) OR truck),4.7
317,(object OR object OR object OR object OR object OR object OR object OR object OR object OR object),(computer OR television OR fireplace OR arcade machine OR monitoring device OR laptop OR crt screen OR microwave OR silver screen OR television stand),5.3
318,(((scene OR scene) AND NOT (color OR object OR object OR color OR color OR object OR object)) OR object),(((kitchen-s OR galley-s) AND NOT (orange-c OR refrigerator OR table OR red-c OR yellow-c OR shelf OR windowpane)) OR stove),5.8
319,(object OR scene OR object OR scene OR object OR scene OR object OR object OR object OR object),(plane OR carrousel-s OR fountain OR amusement park-s OR big top OR liquor store-indoor-s OR playground OR helicopter OR mosque OR dome),4.5
320,(scene OR object OR scene OR scene OR scene OR scene OR object OR scene OR scene OR scene),(cemetery-s OR hovel OR oast house-s OR church-outdoor-s OR donjon-s OR barn-s OR ruins OR mausoleum-s OR pagoda-s OR butte-s),3.8
321,((scene OR scene OR object OR object OR object OR object OR object OR object OR object) AND NOT scene),((ball pit-s OR orchard-s OR inflatable bounce game OR ice OR bowling alley OR iceberg OR trench OR fruit OR ball) AND NOT crevasse-s),3.3
322,(scene OR scene OR object OR part OR object OR scene OR scene OR object OR scene OR scene),(garage-indoor-s OR parking garage-indoor-s OR court OR garage door OR tennis court OR volleyball court-outdoor-s OR garage-outdoor-s OR net OR basketball court-indoor-s OR loading dock-s),4.8
323,(((object AND NOT color) OR scene OR object OR object OR object OR object OR object OR object) AND NOT scene),(((mountain AND NOT black-c) OR butte-s OR helicopter OR slot machine OR badlands OR inflatable bounce game OR signboard OR track) AND NOT snowfield-s),3.8
324,(((object OR scene) AND NOT color) OR scene OR scene OR object OR scene OR scene OR object OR scene),(((person OR market-outdoor-s) AND NOT black-c) OR beer garden-s OR volleyball court-outdoor-s OR big top OR kiosk-outdoor-s OR bazaar-outdoor-s OR playground OR restaurant patio-s),3.2
325,((object OR part OR scene OR scene OR scene OR scene OR scene OR scene OR object) AND NOT object),((fireplace OR headboard OR parlor-s OR chapel-s OR throne room-s OR pulpit-s OR home theater-s OR bedchamber-s OR cushion) AND NOT armchair),5.0
326,((((((scene OR object OR scene OR scene) AND NOT object) OR object) AND NOT scene) OR scene) AND NOT (object OR object)),((((((creek-s OR waterfall OR waterfall-cascade-s OR waterfall-fan-s) AND NOT tree) OR desert) AND NOT field-wild-s) OR bog-s) AND NOT (plant OR tree)),6.5
327,(scene OR scene OR scene OR scene),(waiting room-s OR orchard-s OR office building-s OR embassy-s),5.1
328,(((((object OR scene OR object OR object OR object OR scene) AND NOT object) OR object) AND NOT scene) OR object),(((((pool table OR boxing ring-s OR table tennis OR tennis court OR stretcher OR poolroom-establishment-s) AND NOT floor) OR pool table) AND NOT badminton court-outdoor-s) OR table tennis),5.4
329,(object OR scene OR object OR object OR object OR object OR scene OR object OR object OR object),(apparel OR dolmen-s OR pool table OR shirt OR viaduct OR eiderdown OR earth fissure-s OR aqueduct OR animal OR cliff),3.8
330,(((((scene OR object) AND NOT object) OR scene OR scene OR object) AND NOT (object OR object)) OR part OR object),(((((conference room-s OR computer) AND NOT wall) OR witness stand-s OR sandbox-s OR swivel chair) AND NOT (windowpane OR chair)) OR head OR laptop),3.6
331,(((scene OR scene OR scene OR scene OR scene OR scene) AND NOT color) OR scene OR object OR scene),(((forest-broadleaf-s OR elevator-interior-s OR elevator-door-s OR kennel-indoor-s OR elevator-freight elevator-s OR shower-s) AND NOT yellow-c) OR doorway-indoor-s OR file cabinet OR elevator lobby-s),4.3
332,(((((scene OR object OR scene OR scene OR scene OR scene) AND NOT object) OR scene) AND NOT scene) OR scene),(((((ocean-s OR pool table OR desert-vegetation-s OR field-wild-s OR orchard-s OR savanna-s) AND NOT sky) OR snowfield-s) AND NOT game room-s) OR basement-s),4.2
333,(scene OR scene OR scene OR scene OR object OR object OR object OR object OR scene OR object),(gazebo-exterior-s OR bowling alley-s OR theater-indoor procenium-s OR sauna-s OR tent OR big top OR dam OR bandstand OR cabana-s OR pier),4.2
334,(((object OR scene OR scene OR scene OR scene OR scene) AND NOT object) OR object OR object OR object),(((water OR creek-s OR waterfall-cascade-s OR fishpond-s OR zen garden-s OR japanese garden-s) AND NOT tree) OR pond OR swimming pool OR fountain),4.4
335,(scene OR scene OR object OR object OR scene OR scene OR scene OR scene OR scene OR object),(pasture-s OR orchard-s OR horse OR animal OR bullring-s OR corral-s OR barnyard-s OR ranch-s OR fence-s OR cow),4.6
336,(((object OR object OR scene OR object) AND NOT scene) OR object OR scene OR scene OR scene OR object),(((water OR pool table OR harbor-s OR river) AND NOT river-s) OR lake OR boathouse-s OR lift bridge-s OR canal-urban-s OR pond),5.4
337,((((scene OR scene OR object OR object OR object) AND NOT object) OR scene OR scene) AND NOT (object OR part)),((((art gallery-s OR art school-s OR blackboard OR display board OR drawing) AND NOT windowpane) OR kindergarden classroom-s OR witness stand-s) AND NOT (shelf OR top)),4.4
338,(scene OR scene OR object OR object OR object OR object OR object OR object OR object OR object),(ice skating rink-indoor-s OR sandbox-s OR court OR ice rink OR labyrinth OR bullring OR tennis court OR cradle OR playground OR windmill),3.7
339,((scene OR object OR scene OR object OR scene OR object OR scene OR scene OR scene) AND NOT color),((jacuzzi-indoor-s OR swimming pool OR jacuzzi-outdoor-s OR pool OR fishpond-s OR hot tub OR hot tub-indoor-s OR swimming pool-outdoor-s OR hot tub-outdoor-s) AND NOT orange-c),4.0
340,(((((((object AND NOT color) OR scene) AND NOT color) OR scene) AND NOT object) OR object) AND NOT (scene OR part OR color)),(((((((sea AND NOT black-c) OR lighthouse-s) AND NOT green-c) OR beach-s) AND NOT sky) OR lighthouse) AND NOT (harbor-s OR wave OR orange-c)),6.8
341,(scene OR scene OR part OR scene OR object OR scene OR object OR object OR object OR object),(warehouse-indoor-s OR excavation-s OR crosswalk OR auto factory-s OR aircraft carrier OR parking garage-indoor-s OR autobus OR inflatable bounce game OR bulldozer OR railroad train),4.7
342,((((((object AND NOT color) OR scene OR scene) AND NOT color) OR scene OR scene OR scene) AND NOT color) OR scene),((((((tree AND NOT black-c) OR cemetery-s OR hayfield-s) AND NOT green-c) OR golf course-s OR fairway-s OR field-cultivated-s) AND NOT blue-c) OR corn field-s),5.0
343,((scene OR scene OR object OR object OR scene OR object OR part OR scene OR scene) AND NOT color),((reception-s OR witness stand-s OR kitchen island OR bar OR courtroom-s OR swivel chair OR head OR checkout counter-s OR control tower-indoor-s) AND NOT yellow-c),5.2
344,(object OR scene OR scene OR scene OR object OR object OR scene OR object OR object OR object),(autobus OR subway station-corridor-s OR escalator-indoor-s OR subway station-platform-s OR conveyer belt OR railroad train OR parking garage-indoor-s OR water tower OR ticket counter OR escalator),3.9
345,(object OR scene OR scene OR scene OR scene OR object OR scene OR scene OR scene),(case OR pantry-s OR fastfood restaurant-s OR ice cream parlor-s OR shopping mall-indoor-s OR patty OR fitting room-interior-s OR clothing store-s OR candy store-s),4.4
346,(((object OR scene OR scene OR object OR object OR object OR object OR scene) AND NOT object) OR object),(((palm OR amusement park-s OR islet-s OR island OR carousel OR skeleton OR big top OR oasis-s) AND NOT earth) OR labyrinth),3.8
347,((((object OR object) AND NOT scene) OR scene OR scene OR object OR object OR scene) AND NOT (scene OR scene)),((((mountain OR hill) AND NOT mountain snowy-s) OR hill-s OR vineyard-s OR aquarium OR valley OR village-s) AND NOT (coast-s OR canyon-s)),4.0
348,((scene OR scene OR object OR part OR scene OR object OR scene) AND NOT (scene OR object OR scene)),((window seat-s OR dolmen-s OR kitchen island OR footboard OR jewelry shop-s OR sculpture OR cloister-indoor-s) AND NOT (living room-s OR cradle OR hotel room-s)),3.8
349,((scene OR scene OR object OR object OR object) AND NOT (color OR object)),((shoe shop-s OR closet-s OR aqueduct OR viaduct OR lockers) AND NOT (orange-c OR case)),4.3
350,(((((scene OR scene) AND NOT (object OR object OR object OR color)) OR object) AND NOT (object OR color)) OR object),(((((bathroom-s OR shower-s) AND NOT (door OR curtain OR cabinet OR orange-c)) OR screen door) AND NOT (towel OR white-c)) OR sink),5.7
351,(scene OR scene OR scene OR object OR scene OR scene OR scene OR scene OR scene OR scene),(desert-sand-s OR lighthouse-s OR vineyard-s OR truck OR irrigation ditch-s OR dirt track-s OR fairway-s OR control tower-outdoor-s OR pagoda-s OR mountain path-s),3.7
352,((scene OR scene OR object OR scene OR scene) AND NOT object),((airport terminal-s OR parking garage-indoor-s OR service station OR shopping mall-indoor-s OR cloister-indoor-s) AND NOT person),3.9
353,(((((scene OR object) AND NOT object) OR object OR object) AND NOT (object OR scene)) OR part OR object),(((((closet-s OR cradle) AND NOT wall) OR apparel OR cradle) AND NOT (shelf OR bedroom-s)) OR safety side OR jacket),4.9
354,((object AND scene) OR scene OR scene OR object OR object OR scene OR scene OR scene OR scene),((tree AND street-s) OR tower-s OR amusement park-s OR palm OR playground OR pagoda-s OR museum-outdoor-s OR building complex-s OR campus-s),4.4
355,(((scene OR scene OR scene OR scene OR scene OR object) AND NOT scene) OR object OR object OR object),(((classroom-s OR kindergarden classroom-s OR lecture room-s OR workshop-s OR cafeteria-s OR machine) AND NOT gymnasium-indoor-s) OR stretcher OR workbench OR blackboard),4.3
356,(object OR scene OR scene OR scene OR object OR object OR object OR scene OR object OR object),(rock OR zen garden-s OR topiary garden-s OR japanese garden-s OR fountain OR animal OR iceberg OR botanical garden-s OR straw OR sculpture),4.1
357,(((((scene OR scene OR scene) AND NOT object) OR scene OR scene) AND NOT object) OR scene OR scene OR object),(((((reception-s OR lobby-s OR art gallery-s) AND NOT floor) OR ballroom-s OR television studio-s) AND NOT floor) OR throne room-s OR bank-indoor-s OR aquarium),4.7
358,(scene OR object OR scene OR scene OR object OR object OR object OR object OR scene OR scene),(nursery-s OR pool table OR gas station-s OR playroom-s OR playground OR net OR ring OR cradle OR kindergarden classroom-s OR volleyball court-outdoor-s),4.3
359,(object OR scene OR scene OR object OR object OR object),(pool table OR golf course-s OR fairway-s OR ice rink OR bowling alley OR catwalk),5.0
360,(scene OR scene OR part OR object OR scene OR part OR scene OR object OR part OR object),(cathedral-indoor-s OR church-indoor-s OR crosswalk OR acropolis OR natural history museum-s OR column OR crosswalk-s OR mosque OR shaft OR aqueduct),4.5
361,(scene OR scene OR scene OR scene OR scene OR scene OR scene OR object OR scene OR scene),(auditorium-s OR archive-s OR bank vault-s OR stage-indoor-s OR butchers shop-s OR wine cellar-bottle storage-s OR theater-indoor procenium-s OR grand piano OR jewelry shop-s OR home theater-s),3.8
